,Tweet,Label,Panjang_tweet,Jumlah_kalimat
63,weh baru balik ngerjain tugas kaget banget kok rame??,Fear,53,9
64,baim wong kaget menemukan banyak ular di rumahnya,Fear,49,8
65,klo gugup tuh rasa nya kya udh mau mati gra2 ga bisa nafas,Fear,58,13
66,md nya juga tolong jangan lupa dibacain takut meriang membutuh kan kasih sayang,Fear,79,13
67,emang ya kalo udah ragu mending gak usah sekalian,Fear,49,9
68,ngeri ni..,Fear,10,2
69,"jpn, sgp takut gilaa",Fear,20,4
70,w jd takut pke jnt,Fear,18,5
71,ngeri,Fear,5,1
72,"dan si mbak nya auto malu pake minta maaf, padahal netizen indo ketawa2 doang karna mbak nya lucu dikira quote estetik",Fear,118,21
73,takut banget ada star syndrome,Fear,30,5
74,"ga bolehh, soalnya udah makan mie kemarin' takut lambung aku kambuh lagi kalo keseringan wkwk",Fear,93,15
75,takut gabisa beli sedikit gituu,Fear,31,5
76,takut tambah dewasa,Fear,19,3
77,malu dan males,Fear,14,3
78,aku malu sst yang udah liat congrats kalian pernah memandang wajah istri kak andrew,Fear,83,14
79,"mo bilang kicep, takut..gitu aja kok malu saadd kasad..",Fear,55,9
80,"katanya sekolahku gak bakal online, tapi at least semuanya di swab dong, ngeri.",Fear,79,13
81,"ga ada waktu, apa takut ada mata2 ww",Fear,36,8
82,oo pahamm agak kaget y bund..,Fear,29,6
83,takut bgt jujur kalo yangti udh turun tangan,Fear,44,8
84,jangan lupa minum ya abis makan. takut keselek,Fear,46,8
85,takut banged loch(abaikan muka),Fear,31,4
86,gamau tegang belum disuruh ayank gak usah di zoom ! gaboleh ayank,Fear,65,12
87,"gue ga tweet begituan di sini, malu dan pasti dikecam. skrg kan serem, apa apa dispill. tweet kayak pgn have sex sama anime langsung pqrt atau diss lalu dijadiin bahan teh",Fear,171,31
88,gua ngeri ke lock,Fear,17,4
89,hamdallah panik bgt hari ini banyak lagi yaa,Fear,44,8
90,ngeri tp berusaha menenangkan diri,Fear,34,5
91,"banyak yang bertanya, memangnya apa yang perlu saya cemaskan? semuanya terlihat sempurna dan saya memiliki segalanya. tanpa mereka tahu, bahkan saya cemas untuk sekedar tetap hidup lima menit setalah ini.",Fear,204,30
92,sengaja dibiarkan soalnya takut melanggar ham,Fear,45,6
93,jdndhdjh jujur yaa ak suka covernya tp takut bgt bacanya makanya ga beli,Fear,72,13
94,"punya pasangan kene diajak gaduh dulu baru rajin sangat, kaget lihat semua udah dibuat kemas aja sama dia hihi",Fear,110,19
95,"deg deg an, gabisa mikir, kalo udh gugup tingkat tinggi biasanya tremor",Fear,71,12
96,"nggih mas, aku bingung aja, takut salah beli obat",Fear,49,9
97,"hujan tak kunjung reda, setiap hari hujan mulai menemani nih,.. jadi males keluar rumah,,untungnya wifi rumah pakai indihome jadi g takut internet lemot",Fear,152,23
98,takut,Fear,5,1
99,gabakalan ada habisnya ga sih.. takut ricuh jd keknya gak ada nder,Fear,66,12
100,"makji aku pengen mam mie ayam, udh bm 2 minggu lalu boleh gk makji? takut ileran ini cacingnya",Fear,94,18
101,"malu tp gw gak diapain2 mer wkwk udah dibalikin gitu aja, dia tes detak jantung doang kali ya. gw beneran deg2an soalnya tapi ya tetep gak ada yg berubah, cuma emang tau sih kalo dipretelin, tettep takut",Fear,203,37
102,dari kemaren aku demam + tenggorokan nya sakit.. ya allah takut,Fear,63,11
103,"siapa yg salah disni bang , ngeri aq liatnya bah",Fear,48,10
104,"berharap ada yang cancel nendo bokuto dan akaashi yg di kyou biar bs co lgsg di web kyou aja mau ambil opslot tp takut krn harga nya ga murah dan rilisnya msh lama, nunggu sampe ina lbh lama lg tp takut jg sih klo ga dapet lg krn pasti war lg wkwk :"")",Fear,251,53
105,"pas sange, pingin ngelakuin itu sama seseorang tapi takut..",Fear,59,9
106,"kek apa ya, gue kalo beli paketan kalo mau keluar jauh/keluar kota aja sksk gue jarang keluar jadi takut sia2:"")",Fear,112,20
107,"mau ikut komen, takut tambah dewasa",Fear,35,6
108,layout mu keramat aku jadi takut ajakin barengan,Fear,48,8
109,sebenernya takut ajg make ava muka sendiri,Fear,42,7
110,"lawan bocil aja takut, apalagi melawan restu orang tua",Fear,54,9
111,panik banget tadi twitter gua ga bisa di buka,Fear,45,9
112,aduhh butuh roll film yg ready stock fdi sini:( takut gak sampe ntar sebelum hari sabtu huee,Fear,92,17
113,"mon maap tapi sy ngerekam nya ga niat malu bah, jelek bgt wajah sy :'",Fear,69,15
114,"sebelum situng diralat. sedih, tegang..",Fear,39,5
115,mbok 15mbps ngeri ngono,Fear,23,4
116,"hufftt bismillah, bismillah, mugi kumanan dina niki periksane pun panik mik, pun panik katah sholawat mawon.",Fear,108,16
117,gua klo udh pd ngomongin skripsyid takut bgt dh sumpah,Fear,54,10
118,jadi takut pacaran,Fear,18,3
119,panik banget tadi ditanya tanyain guru bk,Fear,41,7
120,tiap kali intuisiku benar itu antara bikin lega atau ngeri sih,Fear,62,11
121,seronok plus takut ada jugak. nk tengok sejauh mana kebolehan diri. bismillah..,Fear,79,12
122,"ngezoom banget gambarnya, kaget",Fear,31,4
123,dirumahku yg kena umicron udah 40an takut..,Fear,43,7
124,tapi gue takut awkard,Fear,21,4
125,kaget ke logout sendiri,Fear,23,4
126,hahaa sama. gue di unfoll 10 org hari ini . kaget banget,Fear,56,12
127,"kyu, kata gue ajakin yg lain juga deh, kalo pada gamau teror aja pake chucky",Fear,76,15
128,"tbl tbl takut banget loh yang sering tiktokan pasti pernah dengar frasa yang diciptakan ini. sejak viral, tbl digunakan oleh perusahaan besar untuk promosi. penciptanya pun kecewa karena tidak minta izin emangnya frasa bisa dilindungi? [a thread]",Fear,247,37
129,takut tuhan kalo gue,Fear,20,4
130,eh anjir woozi takut bgt gue takutt,Fear,35,7
131,takut banget ditolak ama doi,Fear,28,5
132,"takut banget dimana mana iklan cincin lamaran, cetak undangan, wo lewat mulu.",Fear,77,12
133,"gue dulu takut trus kata temen gue tinggal plek ntar dia cuman nempel ke pupil kok. kecuali tangan lo gatel pengen kucek2 mata ya jangaan. nyopotinnya ga perih samsek, kaya lg nyubit gitu caranya",Fear,195,34
134,kalo udah deket hari ultah bawaannya makin panik makin ovt,Fear,58,10
135,ohh gitu.. kaget bentukannya kayak preinst,Fear,42,6
136,kaget kirain kelirik taunya bukan as lihat akunnya,Fear,50,8
137,takut &gt; ngantuk ?,Fear,20,4
138,mau check out takut tidak kretek tulang punggung. dilema jadi muda mudi jompo wkwk,Fear,82,14
139,aku takut,Fear,9,2
140,jd malu trims,Fear,13,3
141,"bener lily. malu banget dah.. minim literasi. kirain tuh paling muda, ternyata muda dari kakak. terus kirain tuh ada n-nya, taunya dia nulis kurang huruf n, bukan ada n-nya. malu banget.",Fear,186,31
142,"jeje galak banget, gua takut",Fear,28,5
143,masih kaget.. dijilat??,Fear,23,3
144,takut banget bocil tetangga lagi sakit yg tadinya mau menghirup udara mendung akhirnya tutup pintu lagi,Fear,103,16
145,"cayy jangan lupaa makan siang yaa, jangan malu-malu untuk jbjb!",Fear,63,10
146,kaget liatnya,Fear,13,2
147,"kemarin ngeluh, kalau masih ada alm. bapak, pasti doi yg antar jemput kerja. eh td malam langsung mimpi diantar sama doi pergi kerja. ini bapak ku masih ada atau tidak sih? agak takut",Fear,183,33
148,bismillah desiliun tp takut berat nanti hisabnya hh,Fear,51,8
149,kaget anjir mini,Fear,16,3
150,kating takut adek tingkat aku doang keknya. ini matkul wajib padahal bukan mkp :),Fear,81,14
151,jarang bocor benda tajam takut nak dekat,Fear,40,7
152,aduh gua kalo ujan gini panik takut bocor lg,Fear,44,9
153,"tau kan rasanya, mau lanjut gabisa melek takut nabrak",Fear,53,9
154,anjrit kaget ada renjun,Fear,23,4
155,"alhamdulillah aku di jauhkan dari cowok itu, tapi rasa takut dan traumanya masih membekas sampai sekarang sulit di hilangkan.. ketambahan lagi, dulu waktu kelas 3, temen cowok2 pada suka kan gangguin cewek2, nah si cowok2 itu pada megang dada si cewek kalo nggagguin.",Fear,267,43
156,"selalu merasa gaenakan padahal sebenarnya udh gakuat.. merasa takut kalau orang lain tu engga puas dengan hasil kerja kita,, kenapa sii mikirin perasaan orang mulu heh",Fear,167,26
157,"pengen cuddle, tapi malu aku karna takut klo tidur ngorok",Fear,57,10
158,sumpah takut banget,Fear,19,3
159,"takut, ku demam sm batuk",Fear,24,5
160,kaget liat reply.. fans sultan smua keknya,Fear,42,7
161,moots gue pada ghaib yah takut deh,Fear,34,7
162,beuhh kaget,Fear,11,2
163,: harap-harap cemas..,Fear,21,3
164,terkadang kita selalu memaafkan seseorang hanya karena takut kehilangan.,Fear,72,9
165,"jumlahnya yg takut banyak bener, udah kayak nanganin teror aja.",Fear,63,10
166,"bajunya yang ini, ditengah lagu minjem gitar dari gitarisnya terus dia yang main.. takut banget",Fear,95,15
167,malu akuu. ga lagi deh komen2 di postingan yg war,Fear,49,10
168,ngeri lah kalau begitu caranya,Fear,30,5
169,agak takut tapi gapapa.,Fear,23,4
170,kak wkwkkw aku juga bingung takut akun sopi di report atau gmn2 huhu,Fear,68,13
171,"aku infp dan di aku relate. kalau ada hal yg ga terorganisir tuh emang panik sendiri, pikiran jadi ga tenang :')",Fear,112,21
172,"ngeri x pon, aji mumpung.",Fear,25,5
173,"umm, aku gapapa. aku takut oversharing .. tapi makasih udah nawarin",Fear,67,11
174,"contact kita bisa dinamain siapa aja, ngeri juga",Fear,48,8
175,ah takut,Fear,8,2
176,"gue lagi nangisin cowo fiksi, tiba-tiba abang gue dateng ""dah sholat belum lu?"" gue antara takut di marahin karna belum sholat dan malu karna nangis buat mata gue sembab",Fear,169,29
177,khawatir,Fear,8,1
178,"anjir anjir anjir sumpah ma, pak, hamba takut banget kalo disuruh nungguin adek sendirian. takut dia bangun terus cekek hamba",Fear,125,20
179,takut:(,Fear,7,1
180,hah kenapa suer kok pada kaget gtu,Fear,34,7
181,"anjay ini 2p kegedean ternyata gampang lepas pula, takut kececer jadinya",Fear,72,11
182,"malu bgt sendirian, kesannya kek semua orang ngeliatin sambil kasihan gitu aku kesini sendiri. plis lah rangorang kalian selain jaga jarak juga jaga pandangan dan omongan ya, pdku semakin drop",Fear,192,30
183,"( kaget saat punggungnya dipukul. dia sendiri juga baru sadar langsung sebut nama. ) ..kayaknya berani deh, jun. nggak tahu, kayak .. bisa aja.",Fear,143,24
184,malu nya masih terasa,Fear,21,4
185,ngeri bgt udah jelas2 positive masih nongkrong bukannya isoman,Fear,62,9
186,kaget.. masuk topik,Fear,19,3
187,aku takut nak baca thread ni. aku yg belum pregnant pun dah takut,Fear,65,13
188,"sumpah ya gue sampe takut tiap papasan sama ayam, pasti ngelambat. soalnya doi tuh bukannya minggir yang lebih deket tapi malah nyebrang",Fear,136,22
189,"di ig cuma sesekali doang bikin story, itu pun random isinya, cuma biar keliatan masih hidup aja, takut dikira dah mati",Fear,119,21
190,malu minta beliin paket zenius,Fear,30,5
191,"kalo saya ceritain semua ini ke kamu, saya takut kamu tinggalin lagi. saya gasuka sendiri",Fear,89,15
192,ermm.. mcm berat je ilmu ni. takut tak tercapai sbb takde ilmu persilatan,Fear,73,13
193,"michi naksir doi temennya, takut ada keributan",Fear,46,7
194,"eh ada lagi deng hehe, bikin kaget aja",Fear,38,8
195,beneerr udh ngga ngerti malu pulak,Fear,34,6
196,"jgn apa2 kebanyakan diumbar2 melulu , kalo gajadi malu gile .",Fear,61,11
197,udah aktivasi tapi takut ga valid,Fear,33,6
198,malu banget makxskxj mau pcran sama hyomin anjay,Fear,48,8
199,walau dah 35 tahun tetap takut mak marah tak kemas rumah,Fear,56,11
200,takut gua dicium macan pendekar biru!,Fear,37,6
201,mau positip takut cewenya jealous kah?? masalahnya gw bukan jennie,Fear,66,10
202,"iya swndirian banget, soalnya ada beberapa anak yang positif kopit jumat kemarin. asli panik dan takut",Fear,102,16
203,enggatau tp takut,Fear,17,3
204,"pengem nonton kukira kau rumahh tp takut kena mental,,",Fear,54,9
205,"hanya karena pernah terluka, tak berati kamu harus takut mencinta. ada seseorang yg tepat untukmu di luar sana.",Fear,111,18
206,"anehnya lagi ada anggota, kaget kok bengkak anggaranya",Fear,54,8
207,sekalinya muncul ngegebraknya bikin kaget ya mas topo,Fear,53,8
208,"sebagai penderita agoraphobia, anna gabisa keluar rumah guys, dia bakalan panik dan takut kalo terjebak di suatu ruangan atau bahkan situasi yang ngga familiar gitu. jadi susah ya ges si anna gaboleh keluar rumah dah intinya.",Fear,225,36
209,ngeri ah segitunya caper sampe jelekin orang lain biar dipandang oke,Fear,69,11
210,takut ujan,Fear,10,2
211,"shade cushion make over lebih cocok yang mana ya? kalo warm ivory keterangan ga? aku baru pertama kali mau beli bingung milih shade, takut salah",Fear,144,25
212,menetapkan nonton movie terbaru spider-man venom nunggu nanti setelah blu-ray/legal streamnya keluar aja. kapan ya bisa bebas ke bioskop lagi tanpa rasa takut.. gak masalah juga nonton setelah hype redah walau mau gak mau spoiler bertebaran.,Fear,241,36
213,ak ya pengen coba kenain air tetap sj takut,Fear,43,9
214,ngeri dia keseleo aja di korea kan gada tukang urut,Fear,51,10
215,"takut, pc gue tetep di kolbuk",Fear,29,6
216,ngeri ngeri,Fear,11,2
217,ini ada yg nungguin ga si? aku lagi sakit trs tbtb kepikiran takut gabisa nyelesein apa yg udh aku mulai jd bakal maksain update dikit dikit ya,Fear,143,27
218,takut gw mappa garap csm scene muntah di sensor apa kg,Fear,54,11
219,2 atau 3 orang aja ya :d but! kalo flop mora hapus soalnya malu,Fear,63,14
220,"takut gue, mau hidup tenang",Fear,27,5
221,gue malu banget salah tag jenonyaaaaaaaaa.,Fear,42,6
222,"trs fakta lainnya adalah kakel gw rumahnya searah sama rumah gw. pernah pulsek dia lewat jalanan rumah gw anjrit. gw di belakangnya kaget. ""lah.. kok dia belok kesini""",Fear,167,28
223,gue jadi takut kalo liat akun besideperth,Fear,41,7
224,"heh salah upload, malu",Fear,22,4
225,"kiri, kalo kanan soalnya banyak bergerak takut kepentok",Fear,55,8
226,"iyaa.. takut banget soalnya fc rpku pake thailand juga:""",Fear,56,9
227,lu nggak malu? atau mungkin kalian emang nggak tau malu?,Fear,56,10
228,yang paling nyeremin pas ada razia dadakan pas gue lagi bawa bedak tbs yang tentu saja tidak murah udah panik kalo bakal kesita (dan kalo misal iya ga sudi sih kalo ga dibalikin) untungnya ga ketauan,Fear,199,36
229,soonyoung aku takut sama jihoon hiks.,Fear,37,6
230,ngeri bgt semoga ga kenapa napa,Fear,31,6
231,kok om sih. *gugup*,Fear,19,4
232,ttp kaget walaupun gak nonton,Fear,29,5
233,"tar paket gue yang rembes hujan kemarin dateng, dan gue diminta unboxing depan kurir trus bakal di videoin. kan gue malu yak",Fear,124,22
234,"cuman aku malu aja buat ngepublish ke orang lain , karena dia juga gk pernah publish aku",Fear,88,17
235,"lagi pusing, tapi kalo dapet dana kaget 100$ ilang ni pusingnya",Fear,63,11
236,ga deng beneran cemas karna pd posting dikit2 kelar sidang kan jd cemas,Fear,71,13
237,"kan,,bangun bangun kaget",Fear,24,3
238,ngeri ada tommy shelby ama pak tony stark,Fear,41,8
239,takut tergoda membeli pc lain,Fear,29,5
240,kaget bgt lg mam mie trs nonton all of us are dead ada scene zombie yg lagi ngacak ngacak usus dr perutbodohnya gua tetep lanjut makan sama nonton,Fear,146,28
241,malu,Fear,4,1
242,"bisa dicipratin air kak, bagian belakang badannya aja jg gapapa, klo muka kasian takut kaget",Fear,92,15
243,"buat pelajaran besok2, takut annoying ato gimana haha",Fear,53,8
244,twrpantau belu malu,Fear,19,3
245,"prnh ga sih lo lagi iseng nyanyi nih di dpn pasangan tp ga asal nyanyi gtu, bnran nyanyi. trs pasangan lo terkesima, kaget, shock lalu blg ""lah aku baru tau trnyta suara kamu bagus"" krn literally emg ga prnh nyanyi pas lg sm pasangan, malu geys",Fear,244,46
246,jangan marah2 ih jadi takut di makan nih,Fear,40,8
247,maaf ya sy mau ngetik agak ngeri. hukum mati aja pak/bu . semoga ketikan sy tidak salah dan tidak berdampak negatif kpd semua orang. aamiin,Fear,139,25
248,apapun selain romance. :) tapi kalau horror jangan yang hantu. mun takut sama hantu.,Fear,84,14
249,efek efeknya itu lo yg merah merah bikin takut,Fear,46,9
250,takut ga ada yg mau pembesan ama gue maybe,Fear,42,9
251,"anginnya kenceng bgt, takut :(",Fear,30,5
252,gue liat 3d mv aishite aishite kok takut ya,Fear,43,9
253,"kalo udah 9 bulan ginituh rasanya deg degan, takut, tapi udah pengen ketemu dedek dan udah engap pen cepet cepet bisa bobo telentang dan tengkurep",Fear,146,25
254,"tiba2 mimisan, gaktau kenapa penyebabnya dahal baik2 aja. kaget juga, udah lama gak kejadian kek ginian.",Fear,104,16
255,"bila takde kerja sangat ni yg aku takut ni, takut tktau nak update apa dsu esok",Fear,79,16
256,takut limitt,Fear,12,2
257,ada nad.. barusan. tapi takut makruh kalo marah-marah ngomong kasar.,Fear,68,10
258,"temen gue ada yang positif takut bgt soalnya kamis sama sabtu kemaren abis ketemu, akhirnya gue ini mau swab house service. doakan y geengg",Fear,139,24
259,sbenarnya panik juga sih,Fear,24,4
260,malu bingitttsssss,Fear,18,2
261,lho kirain fest hahahha :'),Fear,27,5
262,anda tau ga sie rasanya lg bengong kaget anjrt,Fear,46,9
263,agak ngeri ye,Fear,13,3
264,ga malu apa ya,Fear,14,4
265,emm malu banget,Fear,15,3
266,"oknum yang ga ngerasain malu td pas presentasi, pls td kalo lu join zoom rasanya mau pindah planet..",Fear,100,18
267,berita palsu jangan sebar! tindakan tegas akan diambil,Fear,54,8
268,"jangan lupa ngingetin ayang buat napas, takut lupa malah repot",Fear,62,10
269,"di urut dulu ke tukang urut, takut salah urat",Fear,45,9
270,"ada kelass lagi nanti jam 1.30, nanti klo tidur, takut kelupaan jamm",Fear,68,12
271,"liat kok cuman takut pada ikut close juga,nanti gw sendirian:(",Fear,62,10
272,eh taik takut. gua jadi ciize.,Fear,30,6
273,"astagfirullah kaget gw, smpe bingung juga dpat notif bgni sejak kpan gw punya gebetan jgankan gebetan org suka aja gk ada",Fear,121,21
274,aduu kok ngeri ahh,Fear,18,4
275,ngeri ya,Fear,8,2
276,aku boleh suka sama orang lagi? takut dibilang sasimo,Fear,53,9
277,tetep aja ongkirnya bikin kaget,Fear,31,5
278,"aku kalo lg di samping bapak2 selalu tremor, takut, gak jelas padahal orangnya nggak ngapa-ngapain",Fear,98,15
279,aww malu banget suer,Fear,20,4
280,kaget.. heran.. akhh..,Fear,22,3
281,"tadi disekolah ada swab buat 2 kelas+beberapa guru, terus katanya guruku semua bakal kena swab dadakan. aku sekarang lagi kurang fit jadi takut..",Fear,145,23
282,jadi takut hehe,Fear,15,3
283,korea pelapis ama utama ga keliatan beda saking gk keliatan sepak terjang pemain utamany di mens tapi takut aj kejutan racikan gado2ny sih suka surprise,Fear,152,25
284,hayoo ada amplop dibalik hanggar yaa kok takut ..,Fear,49,9
285,"alhamdulillah-nya udah divaksin sih. itu juga setelah drama. ibu mertua gwa tinggal sendirian. beberapa bulan lalu bapak mertua baru wafat. jadi yaa, khawatir. lalu ya gituu, agak meremehkan covid. makin khawatir lagi~",Fear,218,32
286,tp takut bgt tiba2 ppkm gimana,Fear,30,6
287,"gw ragu mw bls make kata2 apa pake foto juga, dan akhirnya keluar dh",Fear,68,14
288,asik ..permainan emosi dimulai ..yg bermain dan terlibat ngeri-ngeri sedap..siap2 nyiapin pukulan tangkisan..indikasi sih positif 100% melawan hukum cuma upaya mencari keringanan aja ..tamatlah sudah karier2 yg didapat dgn cara gag berkah..,Fear,240,32
289,"belom pernah nyampe manggarai lagi kalo naik kereta, kaget udah jadi di atas peronnya wkk",Fear,89,15
290,"chaki, ni buatmu. aku bete banget dah kemarinan waktu kamu ngebet mau jodohin aku sama kak heeseung kaget puool taunya pernah jadi temen satu oa-ku. kelakuanmu beda maksimal (real)",Fear,180,29
291,thank you aii !! sumpah i takut sekarang terpaling redha dah ni,Fear,63,12
292,"sekarang kalau upf fee di awal aja kali ya, ngeri bgt hnr",Fear,57,12
293,takut dewasa,Fear,12,2
294,"dikasih tau adik, simbah nanyain ""ini bajunya gak pernah lihat dipake keluar, dipakai di kamar ya?"" baju tidur tali spageti yamasa ku pake keluar2 kan malu. ini kalau beli lingerie yg aneh2 ya jelas jadi pertanyaan. udah paling bener beli daster midi aja.",Fear,255,43
295,takut sombong,Fear,13,2
296,"kalo gak gandengan tangan meriang tiap hangout di public place aja lengket ngt, gimana kalo pas lagi qtime berdua di private place gitu duh, makasih udah bikin makin menghalu dan btw, di yang kedua tuh seohyun sempet ragu harus pake cincin pernikahannya apa enggak",Fear,264,44
297,"lo takut ga sih anjir selasa depan anjir, treasure beneran cb ya?!?!",Fear,68,12
298,wah ngeri nih sesepuh ternyata,Fear,30,5
299,kakak jd malu tau :(,Fear,20,5
300,"mau ngejar, takut lari. jadi mending ga usah ngapa-ngapain",Fear,58,9
301,"udahh, tapi takut kalau dia ngecek2 pakai akun lain. dulu aku priv, aku buka lg krna pengen rep base. ah, jadi ga nyaman banget, masa ginian aja sampai harus priv mulu aku ingin bebas",Fear,183,34
302,"beh, mangkug tut bah malu nae",Fear,29,6
303,takut namun berusaha percaya diri,Fear,33,5
304,aaksks tp w takut ntar mendadak s massal,Fear,40,8
305,pernah ga sih ngerasa takut berlebihan buat sayang bgt secara tulus ke orang?,Fear,77,13
306,panik panik ada yg panik,Fear,24,5
307,"sch! gais tgl 8-15 masih bisa unggah foto kann, td pagi aku unggah foto tapi pas lagi loading malah error, please notice sender panik bgt nihh servernya error",Fear,158,28
308,"gua naik angkot isinya cowo semua anjirr, malu bet",Fear,50,9
309,"i decided to buy pc from kseller je nanti, i takut i tak dapat pull my fav member sebab tangan tak wangi",Fear,104,22
